City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,qinhuangdao,39.9317,119.5883,1.48,31,98,2.14,CN,1670454799
84,butaritari,3.0707,172.7902,26.73,81,74,5.6,KI,1670454800
85,pensacola,30.4213,-87.2169,23.53,91,40,0.89,US,1670454118
86,albany,42.6001,-73.9662,13.46,92,100,1.09,US,1670454792
87,turukhansk,65.8167,87.9833,-14.76,96,100,6.5,RU,1670454801
88,rudnichnyy,59.617,52.4703,-9.56,79,100,4.04,RU,1670454802
89,bethel,41.3712,-73.414,14.45,89,100,3.6,US,1670454726
90,manokwari,-0.8667,134.0833,26.89,77,98,2.19,ID,1670454803
91,belmonte,-15.8631,-38.8828,24.29,88,63,2.82,BR,1670454804
92,cayenne,4.9333,-52.3333,26.02,89,0,3.6,GF,1670454804
93,kavaratti,10.5669,72.642,27.52,71,100,2.95,IN,1670454805
94,kryvyy rih,47.9167,33.35,1.07,93,100,5.27,UA,1670454805
95,ponta delgada,37.7333,-25.6667,14.72,88,40,7.72,PT,1670454806
96,honiara,-9.4333,159.95,29.86,68,91,1.42,SB,1670454807
97,nanortalik,60.1432,-45.2371,-2.88,77,99,2.34,GL,1670454808
98,vila franca do campo,37.7167,-25.4333,14.55,84,96,9.24,PT,1670454590
99,hermanus,-34.4187,19.2345,15.45,87,42,4.06,ZA,1670454809
100,williston,48.147,-103.618,-10.59,93,16,2.75,US,1670454763
101,zhezkazgan,47.8043,67.7144,-14.37,94,100,2.12,KZ,1670454810
102,mataura,-46.1927,168.8643,17.49,47,100,1.87,NZ,1670454811
103,norman wells,65.282,-126.8329,-30.49,90,26,3.31,CA,1670454533
104,castro,-24.7911,-50.0119,20.12,72,0,2.57,BR,1670454812
105,mayo,38.8876,-76.5119,13.87,94,100,1.54,US,1670454813
106,port lincoln,-34.7333,135.8667,15.08,53,7,5.25,AU,1670454813
107,victoria,22.2855,114.1577,19.03,81,73,4.47,HK,1670454613
108,egvekinot,66.3167,-179.1667,-26.49,95,73,1.86,RU,1670454814
109,saint-joseph,-21.3667,55.6167,24.21,83,21,6.66,RE,1670454815
110,bambous virieux,-20.3428,57.7575,24.56,82,41,7.87,MU,1670454815
111,souillac,-20.5167,57.5167,24.13,84,55,7.26,MU,1670454816
112,maniitsoq,65.4167,-52.9,-0.03,90,100,8.07,GL,1670454816
113,atwater,37.3477,-120.6091,15.06,69,0,0.0,US,1670454817
114,salalah,17.0151,54.0924,25.05,69,75,2.06,OM,1670454817
115,aklavik,68.2191,-135.0107,-26.68,85,88,5.25,CA,1670454818
116,mar del plata,-38.0023,-57.5575,27.01,69,0,7.15,AR,1670454690
117,grafton,42.207,-71.6856,14.0,91,100,3.6,US,1670454819
118,barrow,71.2906,-156.7887,-9.99,85,100,5.66,US,1670454819
119,dikson,73.5069,80.5464,-25.64,96,94,8.08,RU,1670454820
120,broken hill,-31.95,141.4333,14.28,32,0,9.08,AU,1670454820
121,maltahohe,-24.8333,16.9833,18.27,36,0,4.47,NA,1670454821
122,klaksvik,62.2266,-6.589,0.51,73,100,13.1,FO,1670454822
123,chuy,-33.6971,-53.4616,19.58,83,1,4.51,UY,1670454823
124,deputatskiy,69.3,139.9,-29.51,97,100,2.66,RU,1670454823
125,kahului,20.8947,-156.47,27.76,71,40,10.29,US,1670454739
126,miles city,46.4083,-105.8406,-10.46,79,0,1.54,US,1670454824
127,longyearbyen,78.2186,15.6401,-5.09,68,40,6.69,SJ,1670454825
128,ajaccio,42.0,8.9167,8.03,87,0,3.6,FR,1670454826
129,sayyan,15.1718,44.3244,10.2,40,1,1.55,YE,1670454826
130,aden,12.7794,45.0367,25.52,72,48,5.26,YE,1670454827
131,taoudenni,22.6783,-3.9836,28.12,13,100,2.42,ML,1670454827
132,ende,-8.8432,121.6623,26.92,74,100,0.86,ID,1670454828
133,katsina,12.9894,7.6006,20.33,18,23,4.41,NG,1670454829
134,kamskiye polyany,55.4307,51.4171,-17.4,99,18,2.06,RU,1670454830
135,huarmey,-10.0681,-78.1522,19.89,81,42,3.91,PE,1670454831
136,verkhnevilyuysk,63.4453,120.3167,-37.29,100,92,1.18,RU,1670454831
137,butte,39.6499,-121.5677,12.73,61,0,3.6,US,1670454832
138,najran,17.4924,44.1277,15.77,31,4,0.63,SA,1670454832
139,sinnamary,5.3833,-52.95,26.0,86,72,5.26,GF,1670454833
